Rk,Tm,Player,College,MP_T,VORP_original,Year,Redraft,VORP
26 ,LAL,Vlade Divac,International,33838 ,45.3 ,1989 ,1 ,45.3 
12 ,NJN,Mookie Blaylock,University of Oklahoma,31026 ,38.9 ,1989 ,2 ,38.9 
14 ,GSW,Tim Hardaway,University of Texas at El Paso,30626 ,34.6 ,1989 ,3 ,34.6 
36 ,POR,Clifford Robinson,University of Connecticut,42561 ,28.7 ,1989 ,4 ,28.7 
17 ,SEA,Shawn Kemp,Trinity Valley Community College,29293 ,27.3 ,1989 ,5 ,27.3 
11 ,ORL,Nick Anderson,University of Illinois at Urbana-Champaign,24922 ,23.5 ,1989 ,6 ,23.5 
4 ,MIA,Glen Rice,University of Michigan,34985 ,22.1 ,1989 ,7 ,22.1 
3 ,SAS,Sean Elliott,University of Arizona,24502 ,16.1 ,1989 ,8 ,16.1 
16 ,SEA,Dana Barros,Boston College,19480 ,10.6 ,1989 ,9 ,10.6 
1 ,SAC,Pervis Ellison,University of Louisville,11593 ,7.4 ,1989 ,10 ,7.4 
21 ,UTA,Blue Edwards,East Carolina University,18409 ,5.7 ,1989 ,11 ,5.7 
7 ,IND,George McCloud,Florida State University,17429 ,5.6 ,1989 ,12 ,5.6 
10 ,MIN,Pooh Richardson,"University of California, Los Angeles",19399 ,5.5 ,1989 ,13 ,5.5 
2 ,LAC,Danny Ferry,Duke University,18133 ,5.0 ,1989 ,14 ,5.0 
28 ,MIA,Sherman Douglas,Syracuse University,21148 ,2.6 ,1989 ,15 ,2.6 
40 ,BOS,Dino Radja,International,7308 ,2.3 ,1989 ,16 ,2.3 
18 ,CHI,B.J. Armstrong,University of Iowa,17790 ,1.9 ,1989 ,17 ,1.9 
49 ,ATL,Haywoode Workman,Oral Roberts University,7202 ,1.5 ,1989 ,18 ,1.5 
27 ,DET,Kenny Battle,University of Illinois at Urbana-Champaign,1795 ,0.9 ,1989 ,19 ,0.9 
37 ,ORL,Michael Ansley,University of Alabama,2143 ,0.5 ,1989 ,20 ,0.5 
22 ,POR,Byron Irvin,University of Missouri,849 ,0.2 ,1989 ,21 ,0.0 
